POIN,X,Y
A1,686762.795,9.329896815e+06
A10,686764.583,9.329897159e+06
A11,686766.371,9.329897502e+06
A12,686766.69,9.329896036e+06
A13,686767.01,9.32989457e+06
A14,686767.329,9.329893104e+06
A15,686767.649,9.329891638e+06
A16,686769.437,9.329891982e+06
A17,686769.117,9.329893448e+06
A18,686768.798,9.329894914e+06
A19,686768.478,9.32989638e+06
A2,686763.114,9.329895349e+06
A20,686768.158,9.329897846e+06
A21,686769.946,9.329898189e+06
A22,686770.266,9.329896723e+06
A23,686770.585,9.329895257e+06
A24,686770.905,9.329893791e+06
A25,686771.225,9.329892325e+06
A26,686773.013,9.329892669e+06
A27,686772.693,9.329894135e+06
A28,686772.373,9.329895601e+06
A29,686772.054,9.329897067e+06
A3,686763.434,9.329893883e+06
A30,686771.734,9.329898533e+06
A31,686773.522,9.329898876e+06
A32,686773.842,9.32989741e+06
A33,686774.161,9.329895944e+06
A34,686774.481,9.329894478e+06
A35,686774.8,9.329893012e+06
A36,686776.588,9.329893356e+06
A37,686776.269,9.329894822e+06
A38,686775.949,9.329896288e+06
A39,686775.629,9.329897754e+06
A4,686763.754,9.329892417e+06
A40,686775.31,9.32989922e+06
A41,686777.098,9.329899563e+06
A42,686777.417,9.329898097e+06
A43,686777.737,9.329896631e+06
A44,686778.056,9.329895165e+06
A45,686778.376,9.329893699e+06
A46,686780.164,9.329894043e+06
A47,686779.844,9.329895509e+06
A48,686779.525,9.329896975e+06
A49,686779.205,9.329898441e+06
A5,686764.073,9.329890951e+06
A50,686778.886,9.329899907e+06
A51,686780.673,9.32990025e+06
A52,686780.993,9.329898784e+06
A53,686781.313,9.329897318e+06
A54,686781.632,9.329895852e+06
A55,686781.952,9.329894386e+06
A56,686783.74,9.32989473e+06
A57,686783.42,9.329896196e+06
A58,686783.1,9.329897662e+06
A59,686782.781,9.329899128e+06
A6,686765.861,9.329891295e+06
A60,686782.461,9.329900594e+06
A61,686784.249,9.329900937e+06
A62,686784.569,9.329899471e+06
A63,686784.888,9.329898005e+06
A64,686785.208,9.329896539e+06
A65,686785.528,9.329895073e+06
A66,686787.315,9.329895417e+06
A67,686786.996,9.329896883e+06
A68,686786.676,9.329898349e+06
A69,686786.357,9.329899815e+06
A7,686765.541,9.329892761e+06
A70,686786.037,9.329901281e+06
A71,686787.825,9.329901624e+06
A72,686788.144,9.329900158e+06
A73,686788.464,9.329898692e+06
A74,686788.784,9.329897226e+06
A75,686789.103,9.32989576e+06
A76,686790.891,9.329896104e+06
A77,686790.571,9.32989757e+06
A78,686790.252,9.329899036e+06
A79,686789.932,9.329900502e+06
A8,686765.222,9.329894227e+06
A80,686789.613,9.329901968e+06
A81,686791.401,9.329902312e+06
A82,686791.72,9.329900845e+06
A83,686792.04,9.329899379e+06
A84,686792.359,9.329897913e+06
A85,686792.679,9.329896447e+06
A86,686794.467,9.329896791e+06
A87,686794.147,9.329898257e+06
A88,686793.828,9.329899723e+06
A89,686793.508,9.329901189e+06
A9,686764.902,9.329895693e+06
A90,686793.188,9.329902655e+06
A91,686794.976,9.329902999e+06
A92,686795.296,9.329901533e+06
A93,686795.615,9.329900067e+06
A94,686795.935,9.3298986e+06
A95,686796.255,9.329897134e+06
